datetime_utc,lat,lon,wind_kt,slp_mb,stage,status,source
2025-08-11 00:00:00+00:00,16.5,-23.1,30,1007,tropical depression,TD,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-11 06:00:00+00:00,17.2,-25.2,35,1006,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-11 12:00:00+00:00,17.3,-27.3,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-11 18:00:00+00:00,17.4,-29.3,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-12 00:00:00+00:00,17.5,-31.3,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-12 06:00:00+00:00,17.5,-33.3,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-12 12:00:00+00:00,17.3,-35.4,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-12 18:00:00+00:00,17.1,-37.4,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-13 00:00:00+00:00,16.8,-39.3,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-13 06:00:00+00:00,16.6,-41.0,40,1004,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-13 12:00:00+00:00,16.4,-42.7,45,1002,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-13 18:00:00+00:00,16.3,-44.3,45,1002,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-14 00:00:00+00:00,16.3,-45.9,45,1002,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-14 06:00:00+00:00,16.3,-47.5,45,1002,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-14 12:00:00+00:00,16.3,-48.9,50,999,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-14 18:00:00+00:00,16.6,-50.4,55,998,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-15 00:00:00+00:00,16.9,-51.9,60,997,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-15 06:00:00+00:00,17.4,-53.5,60,997,tropical storm,TS,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-15 12:00:00+00:00,18.0,-55.2,65,996,hurricane,HU1,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-15 18:00:00+00:00,18.7,-56.8,65,993,hurricane,HU1,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-16 00:00:00+00:00,19.4,-58.5,75,981,hurricane,HU1,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-16 06:00:00+00:00,19.6,-60.4,95,967,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-16 12:00:00+00:00,19.6,-62.1,130,934,hurricane,HU4,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-16 18:00:00+00:00,19.8,-63.4,140,913,hurricane,HU5,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-17 00:00:00+00:00,20.0,-64.6,125,934,hurricane,HU4,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-17 06:00:00+00:00,20.3,-65.8,110,940,hurricane,HU3,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-17 12:00:00+00:00,20.7,-67.0,110,940,hurricane,HU3,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-17 18:00:00+00:00,21.5,-68.0,110,946,hurricane,HU3,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-18 00:00:00+00:00,22.0,-68.9,110,946,hurricane,HU3,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-18 06:00:00+00:00,22.5,-69.7,115,945,hurricane,HU4,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-18 12:00:00+00:00,22.9,-70.5,120,935,hurricane,HU4,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-18 18:00:00+00:00,23.5,-71.0,115,937,hurricane,HU4,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-19 00:00:00+00:00,24.0,-71.4,100,947,hurricane,HU3,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-19 06:00:00+00:00,24.5,-71.8,90,955,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-19 12:00:00+00:00,25.2,-72.1,85,958,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-19 18:00:00+00:00,26.1,-72.5,85,958,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-20 00:00:00+00:00,27.2,-72.8,85,959,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-20 06:00:00+00:00,28.3,-73.2,90,954,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-20 12:00:00+00:00,29.5,-73.7,95,943,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-20 18:00:00+00:00,30.7,-73.6,95,942,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-21 00:00:00+00:00,32.1,-73.3,95,941,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
2025-08-21 06:00:00+00:00,33.6,-72.6,90,945,hurricane,HU2,NHC TCR AL052025_Erin.pdf Table 1 (parsed via pdfplumber)
